Communication_link,Power_save_mechanism,Generated_traffic,Transport_protocol,Packets_per_second,Sta_count,Uplink_delay,Downlink_delay,Uplink_pcktloss,Downlink_pcktloss,Uplink_thrpt,Downlink_thrpt,sta_nrg,ap_nrg,sta_overhead,ap_overhead
Down Link,Mix,Full Buffer,TCP,40.0,3,0.0,40.9207,0.0,,0.0,24.7213,103.665,477.414,10.9919,46.9216
Duplex,Mix,Full Buffer,UDP,10.0,3,2339.88,1774.16,101.992,55.1113,35.8888,5.50067,128.595,431.172,4.99164,31.2203
Down Link,Mix,Full Buffer,TCP,10.0,2,0.0,17.4195,0.0,,0.0,14.908,82.7106,438.217,5.4649,19.0866
Down Link,Mix,Full Buffer,TCP,30.0,3,0.0,53.4283,0.0,,0.0,25.1409,104.722,478.315,11.7049,46.9003
Up Link,Mix,Poisson,TCP,30.0,2,58.719,0.0,,0.0,4.752,0.0,76.6303,418.967,7.21294,23.1279
Up Link,Mix,Periodic,TCP,50.0,5,98.3484,0.0,,0.0,2.23143,0.0,91.3501,422.799,9.2495,41.5763
Down Link,Mix,Poisson,UDP,30.0,4,0.0,825.941,0.0,,0.0,2.38975,103.746,425.022,10.2133,33.0417
Down Link,Mix,Poisson,TCP,20.0,1,0.0,7.832,0.0,,0.0,12.1641,73.6075,425.361,8.29394,20.3993
Up Link,Mix,Poisson,UDP,30.0,4,3.543,0.0,,0.0,4.02676,0.0,83.5697,420.571,5.99864,29.9719
Up Link,Mix,Full Buffer,TCP,40.0,1,5.485,0.0,,0.0,16.3751,0.0,73.6252,416.553,3.2046,9.77197
Duplex,Mix,Poisson,TCP,50.0,3,39.663,60.733,1.16689,0.0193706,3.7772,2.32515,95.0822,432.55,13.3687,56.7235
Up Link,Mix,Periodic,UDP,20.0,2,3.673,0.0,,0.0,8.50933,0.0,85.078,420.64,6.60349,29.703
Up Link,Mix,Periodic,UDP,20.0,2,3.6065,0.0,,0.0,8.51024,0.0,85.1731,420.6,6.84925,29.506
Duplex,Mix,Poisson,TCP,50.0,5,74.4198,75.9204,0.310351,0.0930132,2.13866,1.4254,91.0837,432.409,11.1395,52.6831
Duplex,Mix,Poisson,TCP,20.0,2,108.359,50.744,0.90581,0.0145197,4.98631,2.92053,82.0716,423.892,7.06324,25.5535
Down Link,Mix,Poisson,TCP,40.0,3,0.0,27.9463,0.0,,0.0,2.63034,79.868,425.231,9.26293,35.7236
Down Link,Mix,Periodic,UDP,40.0,5,0.0,1684.53,0.0,,0.0,1.89097,110.85,425.237,12.0063,38.345
Duplex,Mix,Periodic,TCP,50.0,3,1.67067,1.523,0.621623,0.00433004,2.44066,3.50349,87.796,427.395,10.6814,50.2061
Down Link,Mix,Poisson,UDP,30.0,1,0.0,7.851,0.0,,0.0,11.4987,70.166,423.956,8.10643,18.1599
Down Link,Mix,Periodic,UDP,20.0,4,0.0,832.166,0.0,,0.0,2.55545,104.446,425.605,10.59,34.1185
Up Link,Mix,Poisson,UDP,10.0,1,8.254,0.0,,0.0,18.7465,0.0,85.0131,417.859,4.47046,14.4174
Up Link,Mix,Periodic,TCP,20.0,2,44.2155,0.0,,0.0,4.78235,0.0,75.7779,418.952,6.97164,22.7138
Down Link,Mix,Poisson,TCP,10.0,1,0.0,8.024,0.0,,0.0,12.2717,73.5077,425.395,8.23081,20.2404
Up Link,Mix,Full Buffer,UDP,30.0,5,2682.56,0.0,,0.0,25.568,0.0,111.842,429.721,4.31429,32.9544
Down Link,Mix,Periodic,TCP,20.0,4,0.0,21.4892,0.0,,0.0,2.25944,79.4195,426.268,8.35201,36.088
Duplex,Mix,Poisson,TCP,30.0,3,101.357,54.9613,0.961962,0.0235242,3.89961,2.39268,96.3923,433.196,13.747,58.2389
Up Link,Mix,Poisson,TCP,50.0,4,38.3155,0.0,,0.0,2.71415,0.0,90.3294,423.191,9.75082,42.9186
Up Link,Mix,Poisson,UDP,40.0,5,2.8964,0.0,,0.0,3.13607,0.0,82.0281,420.811,5.96716,31.4612
Down Link,Mix,Poisson,UDP,30.0,3,0.0,896.069,0.0,,0.0,3.09685,107.338,424.776,11.8967,33.8257
Duplex,Mix,Poisson,UDP,40.0,3,1404.01,1028.53,29.4147,20.9324,4.16448,2.8484,104.622,429.053,13.0617,43.068
Duplex,Mix,Full Buffer,TCP,30.0,3,12.024,40.3647,0.0925497,0.00485746,16.616,26.0403,116.286,461.977,5.9367,26.8223
Down Link,Mix,Full Buffer,TCP,20.0,3,0.0,41.1217,0.0,,0.0,25.5064,104.49,478.763,10.6776,45.606
Duplex,Mix,Periodic,UDP,50.0,3,1333.65,946.83,28.0565,17.8714,4.42391,2.9651,103.47,430.237,13.3874,43.7962
Up Link,Mix,Periodic,UDP,30.0,5,2.909,0.0,,0.0,3.29243,0.0,83.1686,421.138,6.13762,32.6807
Up Link,Mix,Poisson,TCP,30.0,3,43.0603,0.0,,0.0,3.44193,0.0,86.7399,422.893,9.57463,42.0019
Duplex,Mix,Poisson,UDP,40.0,1,17.946,166.301,1.56208,0.0,14.9409,10.783,89.2093,425.654,7.19024,18.2474
Down Link,Mix,Full Buffer,TCP,30.0,2,0.0,18.619,0.0,,0.0,15.5152,83.8007,439.095,5.57245,19.3739
Duplex,Mix,Periodic,TCP,30.0,5,59.8962,63.0866,0.616022,0.035636,1.6563,1.46927,86.2028,428.294,9.3159,43.9415
Down Link,Mix,Full Buffer,TCP,30.0,4,0.0,22.2185,0.0,,0.0,21.0737,95.6911,467.785,8.0591,42.7175
Up Link,Mix,Periodic,UDP,10.0,3,2.48267,0.0,,0.0,6.30192,0.0,89.6572,422.217,7.67224,36.7395
Up Link,Mix,Periodic,UDP,30.0,5,2.9418,0.0,,0.0,3.2943,0.0,82.6951,421.134,5.6404,32.6582
Duplex,Mix,Full Buffer,TCP,20.0,4,30.495,76.0938,2.37599,0.0034926,1.40253,8.32479,79.481,420.449,3.67571,13.6645
Down Link,Mix,Periodic,UDP,30.0,3,0.0,963.994,0.0,,0.0,3.09992,105.231,424.891,11.9161,33.8584
Up Link,Mix,Poisson,TCP,50.0,3,91.655,0.0,,0.0,3.38459,0.0,91.4637,422.06,9.86597,37.735
Up Link,Mix,Poisson,TCP,40.0,2,90.4455,0.0,,0.0,4.52617,0.0,76.4098,418.822,7.14018,22.9309
Down Link,Mix,Periodic,UDP,10.0,4,0.0,793.16,0.0,,0.0,2.80395,103.839,426.575,11.006,35.4352
Duplex,Mix,Full Buffer,TCP,50.0,3,20.8137,55.578,0.13002,0.0622226,16.3307,16.3653,127.066,462.389,7.07391,26.1746
Up Link,Mix,Periodic,UDP,30.0,1,8.223,0.0,,0.0,16.4765,0.0,81.7947,417.469,4.29255,13.8429
Up Link,Mix,Periodic,TCP,50.0,4,52.6815,0.0,,0.0,3.20355,0.0,92.0501,423.905,10.1188,43.8825
Duplex,Mix,Poisson,TCP,50.0,3,114.224,74.596,1.15688,0.00721648,4.00072,2.25885,98.1417,433.016,14.6393,59.2303
Duplex,Mix,Periodic,TCP,30.0,3,32.4423,77.714,0.792585,0.0277837,3.2623,2.2727,94.3978,430.885,14.1748,59.33
Duplex,Mix,Full Buffer,TCP,20.0,1,7.549,18.152,0.256039,0.00229221,9.17415,34.3922,72.8683,420.136,3.68865,10.7392
Down Link,Mix,Poisson,UDP,30.0,2,0.0,1058.42,0.0,,0.0,4.07076,88.2391,421.881,9.17894,25.3436
Up Link,Mix,Periodic,TCP,40.0,3,27.7577,0.0,,0.0,3.86468,0.0,91.0025,423.619,9.92944,43.3809
Down Link,Mix,Full Buffer,TCP,20.0,5,0.0,47.5912,0.0,,0.0,14.6227,90.5258,461.806,7.50117,47.6169
Duplex,Mix,Poisson,TCP,40.0,3,119.313,78.8493,0.963954,0.0505988,3.71273,2.35357,96.9843,432.794,14.4109,58.4263
Duplex,Mix,Full Buffer,UDP,20.0,5,3076.88,1901.72,101.76,58.2276,23.8624,4.28644,111.359,431.586,4.36403,32.9325
Duplex,Mix,Poisson,UDP,50.0,4,883.162,841.424,19.5862,17.6535,3.64301,2.42174,99.7721,430.538,11.9843,43.8681
Duplex,Mix,Periodic,TCP,10.0,4,29.9962,52.0045,0.631793,0.0570931,3.74039,2.44917,95.6732,436.989,12.9332,59.2085
Up Link,Mix,Poisson,TCP,30.0,5,107.528,0.0,,0.0,2.2745,0.0,97.5267,423.386,11.0741,45.461
Up Link,Mix,Full Buffer,TCP,20.0,5,92.0158,0.0,,0.0,9.9608,0.0,108.304,436.089,14.8685,77.543
Up Link,Mix,Full Buffer,TCP,20.0,1,5.258,0.0,,0.0,16.6733,0.0,73.9779,416.614,3.2259,9.82578
Duplex,Mix,Periodic,UDP,40.0,5,1370.16,1502.43,28.374,30.0869,2.71264,1.83534,102.74,429.742,13.5117,46.8516
Duplex,Mix,Full Buffer,UDP,10.0,4,3505.24,1857.71,101.396,54.1731,26.2382,7.0245,121.419,432.164,4.28421,27.974
Up Link,Mix,Poisson,UDP,50.0,2,3.7495,0.0,,0.0,7.59023,0.0,81.4568,419.967,6.50435,27.3597
Duplex,Mix,Poisson,TCP,10.0,1,2.306,4.54,1.38322,0.0,4.3936,11.1009,67.5071,417.451,5.87353,15.705
Duplex,Mix,Full Buffer,TCP,10.0,4,22.567,59.1082,0.185942,0.00611412,8.70392,15.2745,97.9682,448.383,4.97484,25.5868
Down Link,Mix,Poisson,UDP,10.0,2,0.0,952.419,0.0,,0.0,4.68426,89.1504,422.868,9.8772,26.891
Duplex,Mix,Full Buffer,TCP,40.0,1,4.418,19.002,0.255025,0.0030185,7.57273,46.2268,70.1826,419.309,3.51124,10.3341
Down Link,Mix,Periodic,TCP,50.0,4,0.0,22.0205,0.0,,0.0,2.28021,78.4051,425.062,7.86309,33.1247
Up Link,Mix,Poisson,UDP,10.0,3,2.56667,0.0,,0.0,6.35237,0.0,89.3106,422.143,7.75893,36.3517
Up Link,Mix,Full Buffer,UDP,30.0,4,3125.3,0.0,,0.0,27.7504,0.0,122.139,429.873,4.20944,28.017
Duplex,Mix,Poisson,UDP,20.0,5,1558.21,1466.62,28.478,29.033,2.78298,1.92002,102.266,430.053,13.9226,48.3401
Down Link,Mix,Periodic,TCP,50.0,3,0.0,22.8463,0.0,,0.0,2.57521,78.4166,423.977,8.1337,32.3821
Duplex,Mix,Full Buffer,TCP,50.0,5,33.9622,100.792,0.154263,0.0762771,9.43213,11.8845,108.931,459.932,8.60312,37.9672
Down Link,Mix,Periodic,TCP,40.0,3,0.0,30.2673,0.0,,0.0,2.58361,78.9094,425.395,8.96823,34.9012
Duplex,Mix,Poisson,UDP,40.0,1,17.313,265.462,2.18997,0.0,16.0358,10.4599,90.5093,425.554,7.08318,18.2112
Down Link,Mix,Poisson,TCP,40.0,3,0.0,20.9953,0.0,,0.0,2.54033,80.0077,425.177,9.28208,35.6668
Down Link,Mix,Poisson,TCP,50.0,5,0.0,37.0356,0.0,,0.0,1.4303,78.2867,423.964,7.18413,32.1081
Duplex,Mix,Full Buffer,TCP,40.0,5,65.6742,107.131,0.147117,0.13536,9.19695,10.8184,110.874,459.728,9.4997,37.9952
Up Link,Mix,Periodic,TCP,30.0,4,66.1857,0.0,,0.0,3.30203,0.0,94.4001,424.377,10.8253,46.0822
Down Link,Mix,Poisson,TCP,50.0,1,0.0,8.313,0.0,,0.0,10.579,72.017,424.142,7.84453,19.4009
Down Link,Mix,Periodic,TCP,40.0,1,0.0,7.952,0.0,,0.0,10.8055,71.7154,424.041,7.5172,18.751
Duplex,Mix,Periodic,UDP,20.0,3,1354.63,863.086,28.2103,17.9533,4.68405,3.14986,105.269,430.19,14.1759,46.0565
Down Link,Mix,Full Buffer,TCP,20.0,5,0.0,48.8628,0.0,,0.0,10.9059,95.6444,471.635,10.7589,60.9744
Duplex,Mix,Periodic,TCP,20.0,1,2.583,6.009,1.41361,0.0,3.2483,11.2007,66.6788,417.383,6.16415,16.1703
Up Link,Mix,Periodic,UDP,30.0,3,2.53433,0.0,,0.0,5.48659,0.0,85.993,421.15,7.47663,32.8113
Duplex,Mix,Periodic,UDP,30.0,4,981.93,808.2,19.9438,18.127,3.38956,2.44314,100.109,430.267,12.2483,44.5646
Up Link,Mix,Poisson,UDP,50.0,1,7.919,0.0,,0.0,16.5542,0.0,82.9058,417.711,4.60141,14.8682
Down Link,Mix,Poisson,TCP,20.0,1,0.0,7.845,0.0,,0.0,11.9787,73.6554,425.396,8.54631,20.8706
Up Link,Mix,Poisson,TCP,50.0,3,58.5817,0.0,,0.0,3.96741,0.0,95.003,424.237,11.8427,47.0716
Duplex,Mix,Poisson,TCP,50.0,1,1.767,4.394,0.936693,0.0,2.61279,11.9437,65.4681,417.043,5.68854,15.1092
Up Link,Mix,Full Buffer,TCP,40.0,1,5.168,0.0,,0.0,18.0091,0.0,75.1187,416.781,3.27062,9.9041
Down Link,Mix,Full Buffer,TCP,20.0,4,0.0,41.744,0.0,,0.0,18.3866,77.9869,422.507,3.82275,13.9953
Duplex,Mix,Periodic,UDP,10.0,3,1404.74,838.218,29.3683,16.8193,5.27687,3.42674,105.638,431.73,14.6864,48.1784
Down Link,Mix,Poisson,UDP,30.0,1,0.0,7.893,0.0,,0.0,10.3724,69.0031,422.993,7.49594,17.0821
Down Link,Mix,Periodic,TCP,20.0,4,0.0,26.1333,0.0,,0.0,2.3021,79.0975,426.835,8.8369,38.9112
Down Link,Mix,Full Buffer,TCP,50.0,4,0.0,29.5328,0.0,,0.0,23.2027,88.6353,457.709,5.44486,28.5281
Duplex,Mix,Full Buffer,UDP,30.0,5,2813.11,2375.97,101.925,57.9151,24.7426,3.55967,111.589,431.232,4.3844,32.5572
Down Link,Mix,Poisson,TCP,40.0,5,0.0,22.2944,0.0,,0.0,1.49159,77.7679,424.365,7.26056,32.6736
Duplex,Mix,Periodic,TCP,10.0,1,3.443,3.96,0.387135,0.0179179,3.69927,12.0017,66.287,417.128,5.33172,14.4259
Down Link,Mix,Poisson,UDP,20.0,1,0.0,7.856,0.0,,0.0,11.168,69.7669,423.631,7.91447,17.821
Up Link,Mix,Poisson,UDP,10.0,5,2.9468,0.0,,0.0,3.8501,0.0,85.0938,422.284,6.98579,36.9933
Down Link,Mix,Periodic,TCP,10.0,4,0.0,20.953,0.0,,0.0,2.51011,81.4084,427.486,9.17952,39.5867
Duplex,Mix,Full Buffer,TCP,40.0,5,30.5484,79.6678,0.234315,0.00505887,7.52539,12.4469,97.3527,451.206,6.13369,34.622
Duplex,Mix,Poisson,TCP,50.0,2,2.543,2.3055,1.71566,0.00655222,1.68736,6.02005,62.9821,417.869,4.84268,16.9167
Down Link,Mix,Periodic,UDP,30.0,2,0.0,1207.32,0.0,,0.0,4.02594,88.8743,421.953,9.21004,25.4534
Down Link,Mix,Poisson,UDP,30.0,4,0.0,795.538,0.0,,0.0,2.46554,103.984,425.398,10.5404,33.8871
Duplex,Mix,Full Buffer,TCP,30.0,1,7.413,17.448,0.204813,0.00235749,9.02294,38.1615,72.9383,420.496,3.74275,10.8507
Up Link,Mix,Poisson,UDP,30.0,5,2.9176,0.0,,0.0,3.36562,0.0,83.059,421.244,6.29654,33.1032
Duplex,Mix,Poisson,UDP,50.0,3,1441.36,986.116,28.0765,21.1893,4.26293,2.96271,105.562,429.578,13.8477,44.6483
Down Link,Mix,Poisson,UDP,20.0,4,0.0,847.034,0.0,,0.0,2.55563,103.62,425.607,10.5296,33.9772
Up Link,Mix,Poisson,TCP,20.0,2,73.72,0.0,,0.0,4.82992,0.0,76.9052,419.228,7.59685,24.089
Down Link,Mix,Full Buffer,TCP,30.0,5,0.0,215.601,0.0,,0.0,7.98671,78.7985,426.318,3.79184,16.4322
Up Link,Mix,Full Buffer,UDP,10.0,2,2977.62,0.0,,0.0,29.0215,0.0,95.3206,419.737,3.08876,10.4184
Duplex,Mix,Full Buffer,TCP,10.0,1,3.971,18.231,0.222435,0.00611023,7.47836,48.8323,70.224,419.541,3.53627,10.3868
